titre,link,release_date,image
Furiosa: une saga Mad Max,/film/fichefilm_gen_cfilm=191112.html,22 mai 2024,https://fr.web.img4.acsta.net/c_310_420/img/bd/b1/bdb11f06bd2f0392cfc2bf9f64ecca1d.jpg
Rascal Does Not Dream,/film/fichefilm_gen_cfilm=326393.html,25 mai 2024,https://fr.web.img6.acsta.net/c_310_420/img/46/c8/46c88dd42fcece13d8e0eb74209f60cd.jpg
Heroico,/film/fichefilm_gen_cfilm=302849.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Foudre,/film/fichefilm_gen_cfilm=294924.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Chien blanc,/film/fichefilm_gen_cfilm=288970.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Colocs de choc,/film/fichefilm_gen_cfilm=328435.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Mystère sur la colline aux gâteaux,/film/fichefilm_gen_cfilm=326902.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Les Moissons du ciel,/film/fichefilm_gen_cfilm=6425.html,16 mai 1979,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Les Aventures de Zak et Crysta dans la forêt tropicale,/film/fichefilm_gen_cfilm=4908.html,13 janvier 1993,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Negu Hurbilak,/film/fichefilm_gen_cfilm=317909.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
La Vengeance du dragon noir,/film/fichefilm_gen_cfilm=324472.html,21 août 1974,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Uchronietzsche Parabolique,/film/fichefilm_gen_cfilm=1000000607.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Turbo,/film/fichefilm_gen_cfilm=1000001826.html,23 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
L’Espoir au cœur du chaos,/film/fichefilm_gen_cfilm=1000003209.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Don Quichotte (Opéra de Paris) - opéra,/film/fichefilm_gen_cfilm=316846.html,23 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
titre,link,release_date,image
Furiosa: une saga Mad Max,/film/fichefilm_gen_cfilm=191112.html,22 mai 2024,https://fr.web.img4.acsta.net/c_310_420/img/bd/b1/bdb11f06bd2f0392cfc2bf9f64ecca1d.jpg
Rascal Does Not Dream,/film/fichefilm_gen_cfilm=326393.html,25 mai 2024,https://fr.web.img6.acsta.net/c_310_420/img/46/c8/46c88dd42fcece13d8e0eb74209f60cd.jpg
Heroico,/film/fichefilm_gen_cfilm=302849.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Foudre,/film/fichefilm_gen_cfilm=294924.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Chien blanc,/film/fichefilm_gen_cfilm=288970.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Colocs de choc,/film/fichefilm_gen_cfilm=328435.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Mystère sur la colline aux gâteaux,/film/fichefilm_gen_cfilm=326902.html,22 mai 2024,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Les Moissons du ciel,/film/fichefilm_gen_cfilm=6425.html,16 mai 1979,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
