,title,nationality,box_office_first_week,press_eval,viewers_eval,budget,duration_minutes,season,year,action,animation,arts martiaux,aventure,biopic,bollywood,comédie,comédie dramatique,comédie musicale,divers,drame,epouvante-horreur,erotique,espionnage,expérimental,famille,fantastique,guerre,historique,judiciaire,musical,policier,péplum,romance,science fiction,sport event,thriller,western,stars_producers_director,nombre_acteurs_connus,distributor_important
0,guardians of the galaxy vol. 3,U.S.A.,1323124,3.6,4.2,250000000.0,150,printemps,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
0,guardians of the galaxy vol. 3,U.S.A.,1323124,3.6,4.2,250000000.0,150,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
0,guardians of the galaxy vol. 3,U.S.A.,1323124,3.6,4.2,250000000.0,150,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2,True
1,sexygénaires,France,63084,2.8,2.6,6000000.0,80,été,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,False
2,pornomelancolía,Argentine,3611,3.5,2.6,29000000.0,94,été,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
4,sick of myself,Norvège,14638,3.4,3.4,29000000.0,97,printemps,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
5,la syndicaliste,France,192422,3.3,3.9,29000000.0,121,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
5,la syndicaliste,France,192422,3.3,3.9,29000000.0,121,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
6,j’irai mourir dans les carpates,France,50838,2.5,3.7,300000.0,96,automne,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
6,j’irai mourir dans les carpates,France,50838,2.5,3.7,300000.0,96,automne,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,True
7,astérix et obélix : l'empire du milieu,France,1882686,2.4,1.8,72000000.0,112,hiver,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,True
7,astérix et obélix : l'empire du milieu,France,1882686,2.4,1.8,72000000.0,112,hiver,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,True
8,whitney houston: i wanna dance with somebody,U.S.A.,64834,2.5,3.5,50000000.0,146,hiver,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
8,whitney houston: i wanna dance with somebody,U.S.A.,64834,2.5,3.5,50000000.0,146,hiver,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,True
9,tout simplement noir,France,255537,3.8,2.8,29000000.0,90,été,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
10,retour chez ma mère,France,643863,2.9,3.0,8600000.0,91,été,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
